PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,PRI,SEC,n_STALLS,n_PASS,TIER_SCORE,TIER,latitude,longitude
166,WOODGROVE SECONDARY SCHOOL,NORTH,N7,14,0,1,8,5,0.625,C,1.42833185,103.7965492
167,WOODLANDS PRIMARY SCHOOL,NORTH,N7,14,1,0,6,2,0.333333333,D,1.43669555,103.7916902
168,WOODLANDS RING SECONDARY SCHOOL,NORTH,N7,14,0,1,8,2,0.25,D,1.436023,103.8004353
169,ANG MO KIO PRIMARY SCHOOL,SOUTH,S1,15,1,0,6,2,0.142857143,E,1.368953,103.8393687
170,ANG MO KIO SECONDARY SCHOOL,SOUTH,S1,15,0,1,8,3,0.375,D,1.3676706,103.842545
171,CHIJ OUR LADY OF THE NATIVITY,SOUTH,S1,15,1,0,6,3,0.5,C,1.37311065,103.8976899
172,HOLY INNOCENTS' HIGH SCHOOL,SOUTH,S1,15,0,1,7,4,0.571428571,C,1.3716598,103.8957436
173,HOLY INNOCENTS' PRIMARY SCHOOL,SOUTH,S1,15,1,0,8,2,0.375,D,1.36708755,103.8938822
174,JING SHAN PRIMARY SCHOOL,SOUTH,S1,15,1,0,6,2,0.333333333,D,1.37216635,103.8520081
175,MAYFLOWER PRIMARY SCHOOL,SOUTH,S1,15,1,0,6,3,0.5,C,1.37631785,103.8355619
176,MAYFLOWER SECONDARY SCHOOL,SOUTH,S1,15,0,1,7,3,0.428571429,D,1.36906525,103.8357708
177,PRESBYTERIAN HIGH SCHOOL,SOUTH,S1,15,0,1,9,6,0.666666667,C,1.3832006,103.8428599
178,PUNGGOL PRIMARY SCHOOL,SOUTH,S1,15,1,0,6,2,0.142857143,E,1.37813115,103.8947545
179,SERANGOON GARDEN SECONDARY SCHOOL,SOUTH,S1,15,0,1,9,1,0.111111111,E,1.3696622,103.8689838
180,YIO CHU KANG SECONDARY SCHOOL,SOUTH,S1,15,0,1,8,2,0.25,D,1.37847985,103.842108
181,ANGLO-CHINESE SCHOOL (INDEP),SOUTH,S2,16,0,1,11,4,0.076923077,E,1.30322315,103.7806778
182,BLANGAH RISE PRIMARY SCHOOL,SOUTH,S2,16,1,0,3,3,1,A,1.27640575,103.80881
183,BUKIT MERAH SECONDARY SCHOOL,SOUTH,S2,16,0,1,8,4,0.5,C,1.28589275,103.8129925
184,CRESCENT GIRLS' SCHOOL,SOUTH,S2,16,0,1,8,5,0.625,C,1.2934392,103.8180238
185,FAIRFIELD METHODIST SCHOOL (PRI),SOUTH,S2,16,1,0,8,5,0.625,C,1.3012022,103.7860313
186,FAIRFIELD METHODIST SCHOOL (SEC),SOUTH,S2,16,0,1,7,4,0.571428571,C,1.3020215,103.7843993
187,KENT RIDGE SECONDARY SCHOOL,SOUTH,S2,16,0,1,8,4,0.5,C,1.3013316,103.7650463
188,NEW TOWN PRIMARY SCHOOL,SOUTH,S2,16,1,0,4,1,0.25,D,1.29981365,103.79984
189,PEI TONG PRIMARY SCHOOL,SOUTH,S2,16,1,0,7,2,0.285714286,D,1.3162677,103.7677645
190,QUEENSTOWN PRIMARY SCHOOL,SOUTH,S2,16,1,0,7,1,0.142857143,E,1.2960266,103.8078385
191,QUEENSTOWN SECONDARY SCHOOL,SOUTH,S2,16,0,1,6,2,0.333333333,D,1.2932897,103.8132567
192,QUEENSWAY SECONDARY SCHOOL,SOUTH,S2,16,0,1,11,6,0.545454545,C,1.3004452,103.8019077
193,TANGLIN SECONDARY SCHOOL,SOUTH,S2,16,0,1,4,3,0.75,B,1.309941,103.757828
194,ANGLO-CHINESE SCHOOL (BARKER ROAD),SOUTH,S3,17,0,1,10,0,0,E,1.3197094,103.8356614
195,ANGLO-CHINESE SCHOOL (PRI),SOUTH,S3,17,1,0,10,3,0,E,1.31875235,103.8350769
196,BEATTY SECONDARY SCHOOL,SOUTH,S3,17,0,1,10,2,0.3,D,1.3417851,103.8522734
197,CHIJ PRIMARY SCHOOL (TOA PAYOH),SOUTH,S3,17,1,0,6,3,0.5,C,1.3331269,103.842403
198,CHIJ SECONDARY SCHOOL (TOA PAYOH),SOUTH,S3,17,0,1,11,5,0.454545455,D,1.3326721,103.8428466
199,FIRST TOA PAYOH PRIMARY SCHOOL,SOUTH,S3,17,1,0,5,0,0,E,1.3404649,103.8558675
200,KHENG CHENG SCHOOL,SOUTH,S3,17,1,0,8,2,0.25,D,1.33703365,103.8474423
201,MARYMOUNT CONVENT SCHOOL,SOUTH,S3,17,1,0,5,3,0.5,C,1.3402824,103.8397563
202,NATIONAL JUNIOR COLLEGE (JUNIOR HIGH),SOUTH,S3,17,0,1,12,3,0.25,D,1.330727,103.8044167
203,PEI CHUN PUBLIC SCHOOL,SOUTH,S3,17,1,0,7,3,0.5,C,1.3362704,103.855697
204,RAFFLES GIRLS' PRIMARY SCHOOL,SOUTH,S3,17,1,0,7,4,0.571428571,C,1.33026845,103.806127
205,ST. MARGARET'S SECONDARY SCHOOL,SOUTH,S3,17,0,1,10,6,0.6,C,1.32043285,103.8096835
206,ALEXANDRA PRIMARY SCHOOL,SOUTH,S4,18,1,0,5,1,0.2,E,1.2913617,103.82409
207,CANTONMENT PRIMARY SCHOOL,SOUTH,S4,18,1,0,5,1,0.2,E,1.2758142,103.8398884
208,CHIJ (KELLOCK),SOUTH,S4,18,1,0,5,2,0.4,D,1.274664,103.8280551
209,CHIJ ST. THERESA'S CONVENT,SOUTH,S4,18,0,1,8,3,0.375,D,1.27614885,103.8222477
210,GAN ENG SENG PRIMARY SCHOOL,SOUTH,S4,18,1,0,7,3,0.428571429,D,1.28587615,103.8152417
211,GAN ENG SENG SCHOOL,SOUTH,S4,18,0,1,9,5,0.555555556,C,1.2894326,103.8236379
212,HONG WEN SCHOOL,SOUTH,S4,18,1,0,7,2,0.285714286,D,1.32178305,103.8575269
213,NORTHLIGHT SCHOOL,SOUTH,S4,18,0,1,6,2,0.333333333,D,1.31946105,103.8556118
214,OUTRAM SECONDARY SCHOOL,SOUTH,S4,18,0,1,7,2,0.375,D,1.28627625,103.8371267
215,RADIN MAS PRIMARY SCHOOL,SOUTH,S4,18,1,0,7,3,0.571428571,C,1.2750442,103.8240239
216,RIVER VALLEY PRIMARY SCHOOL,SOUTH,S4,18,1,0,6,0,0.166666667,E,1.2939,103.8364
217,SCHOOL OF THE ARTS,SOUTH,S4,18,0,1,8,4,0.5,C,1.299297,103.8487409
218,ZHANGDE PRIMARY SCHOOL,SOUTH,S4,18,1,0,5,1,0.2,E,1.28406155,103.8261569
219,ANGLO-CHINESE SCHOOL (JUNIOR),SOUTH,S5,19,1,0,6,0,0,E,1.3091048,103.8414098
220,BENDEMEER PRIMARY SCHOOL,SOUTH,S5,19,1,0,7,2,0.142857143,E,1.3222744,103.8651292
221,BENDEMEER SECONDARY SCHOOL,SOUTH,S5,19,0,1,7,4,0.571428571,C,1.324497,103.86143
222,FARRER PARK PRIMARY SCHOOL,SOUTH,S5,19,1,0,4,2,0.5,C,1.3123692,103.8507914
223,ST. ANDREW'S JUNIOR SCHOOL,SOUTH,S5,19,1,0,8,4,0.5,C,1.3314877,103.8650956
224,ST. ANDREW'S SECONDARY SCHOOL,SOUTH,S5,19,0,1,9,4,0.444444444,D,1.33111015,103.8661242
225,ST. JOSEPH'S INSTITUTION,SOUTH,S5,19,0,1,14,6,0.428571429,D,1.3242,103.8283264
226,ST. JOSEPH'S INSTITUTION JUNIOR,SOUTH,S5,19,1,0,8,3,0.285714286,D,1.31751305,103.8463183
227,ST. MARGARET'S PRIMARY SCHOOL,SOUTH,S5,19,1,0,7,0,0,E,1.324296,103.8816928
228,BARTLEY SECONDARY SCHOOL,SOUTH,S6,20,0,1,6,2,0.333333333,D,1.3406552,103.8823271
229,CEDAR PRIMARY SCHOOL,SOUTH,S6,20,1,0,5,1,0.2,E,1.33553125,103.8754848
230,CHIJ OUR LADY OF GOOD COUNSEL,SOUTH,S6,20,1,0,4,1,0.25,D,1.35775385,103.8638906
231,PEICAI SECONDARY SCHOOL,SOUTH,S6,20,0,1,6,2,0.333333333,D,1.35938135,103.8706469
232,ST. GABRIEL'S PRIMARY SCHOOL,SOUTH,S6,20,1,0,6,2,0.166666667,E,1.3496952,103.8621682
233,ST. GABRIEL'S SECONDARY SCHOOL,SOUTH,S6,20,0,1,9,2,0.222222222,E,1.346723,103.8754373
234,XINGHUA PRIMARY SCHOOL,SOUTH,S6,20,1,0,6,2,0.166666667,E,1.3580028,103.890515
235,YANGZHENG PRIMARY SCHOOL,SOUTH,S6,20,1,0,7,3,0.428571429,D,1.34876345,103.868425
236,YUYING SECONDARY SCHOOL,SOUTH,S6,20,0,1,7,3,0.428571429,D,1.35709395,103.890709
237,ZHONGHUA PRIMARY SCHOOL,SOUTH,S6,20,1,0,5,1,0.2,E,1.35986,103.8696577
238,ZHONGHUA SECONDARY SCHOOL,SOUTH,S6,20,0,1,9,2,0.222222222,E,1.34851635,103.869346
239,AI TONG SCHOOL,SOUTH,S7,21,1,0,7,0,0,E,1.36071255,103.8330175
240,DEYI SECONDARY SCHOOL,SOUTH,S7,21,0,1,8,6,0.75,B,1.36674255,103.8521119
241,GUANGYANG PRIMARY SCHOOL,SOUTH,S7,21,1,0,6,5,0.833333333,B,1.345753,103.8493097
242,GUANGYANG SECONDARY SCHOOL,SOUTH,S7,21,0,1,9,1,0.111111111,E,1.34467265,103.8499513
243,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,SOUTH,S7,21,1,0,7,1,0.142857143,E,1.34921495,103.8550069
244,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,SOUTH,S7,21,0,1,9,4,0.444444444,D,1.3508434,103.8546693
245,PEIRCE SECONDARY SCHOOL,SOUTH,S7,21,0,1,9,1,0.111111111,E,1.3664814,103.8295331
246,RAFFLES GIRLS' SCHOOL (SEC),SOUTH,S7,21,0,1,10,4,0.4,D,1.34295555,103.8433071
247,RAFFLES INST,SOUTH,S7,21,0,1,8,4,0.5,C,1.3467855,103.8443901
248,TECK GHEE PRIMARY SCHOOL,SOUTH,S7,21,1,0,5,2,0.4,D,1.36536405,103.8509424
249,TOWNSVILLE PRIMARY SCHOOL,SOUTH,S7,21,1,0,6,2,0.333333333,D,1.36043645,103.8540368
250,WHITLEY SECONDARY SCHOOL,SOUTH,S7,21,0,1,5,1,0.2,E,1.35567945,103.8425576
251,CLEMENTI PRIMARY SCHOOL,WEST,W1,22,1,0,6,2,0.333333333,D,1.31556955,103.7632088
252,CLEMENTI TOWN SECONDARY SCHOOL,WEST,W1,22,0,1,7,7,1,A,1.31566085,103.7619065
253,HENRY PARK PRIMARY SCHOOL,WEST,W1,22,1,0,7,2,0.285714286,D,1.3170569,103.7842163
254,HWA CHONG INSTITUTION,WEST,W1,22,0,1,10,0,0,E,1.32627975,103.8035258
255,NAN HUA HIGH SCHOOL,WEST,W1,22,0,1,9,6,0.666666667,C,1.3084123,103.7690446
256,NAN HUA PRIMARY SCHOOL,WEST,W1,22,1,0,8,7,0.875,B,1.31983825,103.7616751
257,NEW TOWN SECONDARY SCHOOL,WEST,W1,22,0,1,7,6,0.857142857,B,1.30988355,103.7736014
258,NUS HIGH SCHOOL,WEST,W1,22,0,1,8,2,0.333333333,D,1.307286991,103.7694085
259,QIFA PRIMARY SCHOOL,WEST,W1,22,1,0,6,2,0.333333333,D,1.31280555,103.756965
260,YUHUA PRIMARY SCHOOL,WEST,W1,22,1,0,6,2,0.333333333,D,1.3428913,103.74096
261,CHUA CHU KANG PRIMARY SCHOOL,WEST,W2,23,1,0,7,3,0.444444444,D,1.37793775,103.7419841
262,CONCORD PRIMARY SCHOOL,WEST,W2,23,1,0,8,2,0.25,D,1.38016775,103.7363788
263,DE LA SALLE SCHOOL,WEST,W2,23,1,0,8,3,0.375,D,1.3950086,103.7432593
264,DUNEARN SECONDARY SCHOOL,WEST,W2,23,0,1,7,4,0.571428571,C,1.36358465,103.7445462
265,HILLGROVE SECONDARY SCHOOL,WEST,W2,23,0,1,9,3,0.3,D,1.3533675,103.7529905
266,NANYANG GIRLS' HIGH SCHOOL,WEST,W2,23,0,1,12,6,0.5,C,1.33050835,103.802324
267,NANYANG PRIMARY SCHOOL,WEST,W2,23,1,0,10,4,0.4,D,1.32083185,103.8082166
268,SOUTH VIEW PRIMARY SCHOOL,WEST,W2,23,1,0,8,2,0.25,D,1.381635043,103.7471129
269,UNITY PRIMARY SCHOOL,WEST,W2,23,1,0,8,0,0,E,1.40273665,103.7467533
270,UNITY SECONDARY SCHOOL,WEST,W2,23,0,1,10,3,0.3,D,1.39972215,103.7460294
271,BOON LAY SECONDARY SCHOOL,WEST,W3,24,0,1,9,4,0.444444444,D,1.3427581,103.7016738
272,CORPORATION PRIMARY SCHOOL,WEST,W3,24,1,0,7,4,0.571428571,C,1.35142845,103.7076954
273,FRONTIER PRIMARY SCHOOL,WEST,W3,24,1,0,9,1,0.111111111,E,1.3369298,103.6996377
274,JURONG WEST PRIMARY SCHOOL,WEST,W3,24,1,0,9,3,0.333333333,D,1.3391,103.6988
275,JURONG WEST SECONDARY SCHOOL,WEST,W3,24,0,1,8,4,0.625,C,1.3354612,103.7024026
276,JUYING SECONDARY SCHOOL,WEST,W3,24,0,1,8,3,0.375,D,1.3393,103.6872
277,METHODIST GIRLS' SCHOOL (PRI),WEST,W3,24,1,0,9,5,0.555555556,C,1.33284035,103.7835765
278,METHODIST GIRLS' SCHOOL (SEC),WEST,W3,24,0,1,9,5,0.555555556,C,1.33284035,103.7835765
279,PIONEER PRIMARY SCHOOL,WEST,W3,24,1,0,6,2,0.333333333,D,1.3384,103.6881
280,WEST GROVE PRIMARY SCHOOL,WEST,W3,24,1,0,6,3,0.666666667,C,1.34468085,103.6989833
281,WESTWOOD SECONDARY SCHOOL,WEST,W3,24,0,1,9,6,0.666666667,C,1.35357275,103.7018025
282,XINGNAN PRIMARY SCHOOL,WEST,W3,24,1,0,7,4,0.571428571,C,1.3431928,103.6877492
283,BUKIT VIEW PRIMARY SCHOOL,WEST,W4,25,1,0,7,5,0.714285714,C,1.34570095,103.7535185
284,BUKIT VIEW SECONDARY SCHOOL,WEST,W4,25,0,1,8,0,0,E,1.34569905,103.752192
285,CREST SECONDARY SCHOOL,WEST,W4,25,0,1,7,4,0.571428571,C,1.343795,103.7428092
286,DAZHONG PRIMARY SCHOOL,WEST,W4,25,1,0,3,1,0.333333333,D,1.3591826,103.7479679
287,HUA YI SECONDARY SCHOOL,WEST,W4,25,0,1,6,0,0,E,1.3520885,103.7216252
288,JURONG PRIMARY SCHOOL,WEST,W4,25,1,0,8,2,0.25,D,1.3487249,103.7330556
289,JURONG SECONDARY SCHOOL,WEST,W4,25,0,1,9,8,0.888888889,B,1.33030995,103.7239742
290,JURONGVILLE SECONDARY SCHOOL,WEST,W4,25,0,1,7,5,0.714285714,C,1.3512965,103.7289774
291,KEMING PRIMARY SCHOOL,WEST,W4,25,1,0,7,3,0.428571429,D,1.3453422,103.756399
292,LIANHUA PRIMARY SCHOOL,WEST,W4,25,1,0,6,4,0.666666667,C,1.35386165,103.7540792
293,ST. ANTHONY'S PRIMARY SCHOOL,WEST,W4,25,1,0,7,4,0.571428571,C,1.364220876,103.7490931
294,SWISS COTTAGE SECONDARY SCHOOL,WEST,W4,25,0,1,11,4,0.363636364,D,1.36456,103.7504331
295,YUAN CHING SECONDARY SCHOOL,WEST,W4,25,0,1,7,2,0.285714286,D,1.34159135,103.7201412
296,BEACON PRIMARY SCHOOL,WEST,W5,26,1,0,7,2,0.285714286,D,1.38411495,103.7738009
297,BUKIT PANJANG GOVT HIGH SCHOOL,WEST,W5,26,0,1,10,2,0.272727273,D,1.38212705,103.7382834
298,GREENRIDGE SECONDARY SCHOOL (FAJAR SECONDARY SCHOOL),WEST,W5,26,0,1,7,4,0.571428571,C,1.3752,103.7642
299,GREENRIDGE PRIMARY SCHOOL,WEST,W5,26,1,0,8,3,0.333333333,D,1.3856168,103.7680048
300,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,WEST,W5,26,1,0,7,5,0.714285714,C,1.3380993,103.7762188
301,SCH OF SCIENCE AND TECHNOLOGY,WEST,W5,26,0,1,7,3,0.428571429,D,1.3131051,103.7737254
302,TECK WHYE PRIMARY SCHOOL,WEST,W5,26,1,0,4,2,0.5,C,1.3838509,103.7536535
303,WEST SPRING SECONDARY SCHOOL,WEST,W5,26,0,1,8,5,0.625,C,1.38828505,103.7598736
304,WEST VIEW PRIMARY SCHOOL,WEST,W5,26,1,0,6,2,0.166666667,E,1.38358885,103.7599934
305,ZHENGHUA PRIMARY SCHOOL,WEST,W5,26,1,0,8,3,0.375,D,1.3794259,103.7696661
306,ZHENGHUA SECONDARY SCHOOL,WEST,W5,26,0,1,9,5,0.555555556,C,1.3895029,103.7651957
307,ASSUMPTION ENGLISH SCHOOL,WEST,W6,27,0,1,6,2,0.428571429,D,1.368102,103.766105
308,ASSUMPTION PATHWAY SCHOOL,WEST,W6,27,0,1,5,2,0.4,D,1.37022425,103.7664289
309,BOON LAY GARDEN PRIMARY SCHOOL,WEST,W6,27,1,0,8,4,0.5,C,1.3428882,103.7129331
310,BUKIT PANJANG PRIMARY SCHOOL,WEST,W6,27,1,0,7,1,0,E,1.37341685,103.7694303
311,CHIJ OUR LADY QUEEN OF PEACE,WEST,W6,27,1,0,5,2,0.4,D,1.36644755,103.7681471
312,KRANJI PRIMARY SCHOOL,WEST,W6,27,1,0,4,4,1,A,1.39393915,103.7471551
313,KRANJI SECONDARY SCHOOL,WEST,W6,27,0,1,7,3,0.428571429,D,1.39047655,103.741139
314,REGENT SECONDARY SCHOOL,WEST,W6,27,0,1,7,3,0.5,C,1.39351375,103.7510121
315,CHUA CHU KANG SECONDARY SCHOOL (TECK WHYE SECONDARY SCHOOL),WEST,W6,27,0,1,7,4,0.571428571,C,1.3834,103.75545
316,WEST SPRING PRIMARY SCHOOL,WEST,W6,27,1,0,7,3,0.428571429,D,1.38952295,103.7662653
317,WESTWOOD PRIMARY SCHOOL,WEST,W6,27,1,0,8,4,0.5,C,1.34744235,103.700513
318,YEW TEE PRIMARY SCHOOL,WEST,W6,27,1,0,7,3,0.428571429,D,1.39696185,103.751093
319,BUKIT BATOK SECONDARY SCHOOL,WEST,W7,28,0,1,9,3,0.333333333,D,1.3484109,103.7407154
320,BUKIT TIMAH PRIMARY SCHOOL,WEST,W7,28,1,0,4,1,0.25,D,1.33751905,103.7668494
321,COMMONWEALTH SECONDARY SCHOOL,WEST,W7,28,0,1,11,6,0.545454545,C,1.31977715,103.7457295
322,FUHUA PRIMARY SCHOOL,WEST,W7,28,1,0,6,4,0.666666667,C,1.33648535,103.7364545
323,FUHUA SECONDARY SCHOOL,WEST,W7,28,0,1,10,4,0.4,D,1.34731075,103.7270228
324,LAKESIDE PRIMARY SCHOOL,WEST,W7,28,1,0,7,3,0.428571429,D,1.3383897,103.7179816
325,PRINCESS ELIZABETH PRIMARY SCHOOL,WEST,W7,28,1,0,8,3,0.375,D,1.3493822,103.7409542
326,RIVER VALLEY HIGH SCHOOL,WEST,W7,28,0,1,15,7,0.466666667,D,1.3433748,103.7093058
327,RULANG PRIMARY SCHOOL,WEST,W7,28,1,0,8,1,0.125,E,1.34660905,103.718737
328,SHUQUN PRIMARY SCHOOL,WEST,W7,28,1,0,8,1,0.125,E,1.34712705,103.7215902
329,YUHUA SECONDARY SCHOOL,WEST,W7,28,0,1,9,5,0.555555556,C,1.347278031,103.7223139